item_code,item_description,china_or_local,lead_time_days,total_sales,avg_daily_sales,stddev_qty,safety_stock,reorder_level,maximum_level
PVC CASING 10*20MM*0.72MM*2M,PVC CASING 10*20MM,CHINA STOCK,45,101,0.8417,1.81,21,58,70
AIR BUBBLE,AIR BUBBLE 1M,LOCAL STOCK,5,289,2.4083,6.07,23,35,69
2503002012,"3/4"" PVC SOCKET",LOCAL STOCK,5,281,2.3417,6.34,24,36,68
"#9693 - 3/4""","3/4"" G.I PIPE CLIP",CHINA STOCK,45,76,0.6333,2.6,29,58,67
0.3MMx122x115Y TRANSPARENT SHEET,TRANS/SHEET 0.3MM,CHINA STOCK,45,72,0.6,2.59,29,56,65
PASIR KASAR / COARSE SAND,PASIR KASAR / COARSE SAND,LOCAL STOCK,5,279,2.325,5.24,20,31,64
2503003020,3 X 3 PVC BLK BOX (EAR),LOCAL STOCK,5,280,2.3333,5.1,19,31,64
4 1/2' P/E SHEET,3M X 12M P/E SHEET,LOCAL STOCK,5,307,2.5583,3.98,15,28,64
"STAZS 3/4"" PVC PIPE","3/4"" PVC PIPE",LOCAL STOCK,5,280,2.3333,4.81,18,30,63
"RELIANT RFD03100 4"" A80 METAL FLAP DISC","4"" A80 FLAP DISC",CHINA STOCK,45,42,0.35,3.65,41,57,62
"RELIANT RFD03100 4"" A120 METAL FLAP DISC","4"" A120 FLAP DISC",CHINA STOCK,45,43,0.3583,3.65,41,57,62
"1"" X 680 BOSSKU P/BRUSH","1""x680 BOSSKU P/BRUSH",CHINA STOCK,45,97,0.8083,1.27,15,51,62
"4"" X 20"" PAINT ROLLER HDL","4"" X 20"" P.ROLLER HDL",CHINA STOCK,45,102,0.85,1.03,12,50,62
SYW14,"SYW 1/2""x4"" M16 ANCHOR",CHINA STOCK,45,45,0.375,3.4,38,55,60
MTI-022,PVC WIRE 1.5 - MTR,LOCAL STOCK,5,192,1.6,7.93,30,38,60
SLS-046/2503004010,"W.MAN 3/4"" PVC CASING",LOCAL STOCK,5,283,2.3583,4.04,15,27,60
STOCK-002,KEY 2,LOCAL STOCK,5,306,2.55,2.92,11,24,60
MICROFIBER CLOTH 30x40CM,MICROFIBER CLOTH 30x40CM,CHINA STOCK,45,85,0.7083,1.51,17,49,59
12MM X 15M VOLLA SEAL TAPE,12MMx15M SEALING TAPE,LOCAL STOCK,5,312,2.6,2.32,9,22,58
ARTRIINK EK-71 TWIN MARKER PEN,ARTRIINK EK-71 TWIN MARKER PEN,CHINA STOCK,45,87,0.725,1.21,14,47,57
2503008014/2503008104,PVC WIRE TAPE (BLACK),LOCAL STOCK,5,306,2.55,2.21,9,21,57
"RELAINT 4"" SANDING DISC RED 10'S","4"" SANDING DISC RED 10'S",CHINA STOCK,45,56,0.4667,2.5,28,49,56
"1/2""X1/2""X19GX3'X50' G.WIRE/M","1/2""X 1/2""X3' WIRE MESH",CHINA STOCK,45,67,0.5583,1.94,22,47,55
QL TWIN FLAT 2C 23014 BL/WHT 6,TWIN FLAT 2C BL/WHT,LOCAL STOCK,5,246,2.05,4.29,16,27,55
"3PCS 4"" P.ROLLER REFILL BLUE/GRN","3PCS 4"" P.ROLLER REFILL BLUE/GRN",CHINA STOCK,45,87,0.725,0.97,11,44,54
PVC CASING 15*30MM*1.00MM*2M,PVC CASING 15*30MM,CHINA STOCK,45,64,0.5333,1.86,21,45,53
2503003004,3 X 3 PVC BASE,LOCAL STOCK,5,252,2.1,3.41,13,24,53
SK RODENTICIDE 20G,RODENTICIDE 20G,CHINA STOCK,45,68,0.5667,1.64,19,44,52
"1/4""X6'","1/4"" X 6' S.FULL THREAD BAR",CHINA STOCK,45,42,0.35,2.73,31,46,51
SAFETY VEST NETTING ORANGE/GREEN - PJ,SAFETY VEST ORG/GRN-PJ,CHINA STOCK,45,59,0.4917,1.98,22,45,51
"RELIANT 4"" ROUND FIBER DISC","RELIANT 4"" FIBER DISC",CHINA STOCK,45,47,0.3917,2.45,28,45,51
25MM PPR SOCKET,25MM PPR SOCKET,CHINA STOCK,45,52,0.4333,2.07,23,43,49
"1/2"" PVC CLASS D PIPE","1/2"" PVC CLASS D PIPE-WWW",LOCAL STOCK,5,216,1.8,3.73,14,23,48
PVC WALL PLUG 6MM,PVC WALL PLUG,LOCAL STOCK,5,254,2.1167,2.03,8,19,48
3906-300-18-100P,"12"" X 18T SAW BLADE",CHINA STOCK,45,70,0.5833,1.13,13,39,47
"1/2"" (15MM) PVC VALVE SOCKET","1/2"" PVC V/SOCKET",LOCAL STOCK,5,233,1.9417,2.69,10,20,47
HMTCH83,83# GOOD MORNING TOWEL,CHINA STOCK,45,61,0.5083,1.38,16,39,46
"1/2"" (15MM) PVC EQUAL SOCKET","1/2"" PVC SOCKET",LOCAL STOCK,5,215,1.7917,2.97,11,20,46
LETO LT1102 PAINT MARKER,LETO LT1102 PAINT MARKER,CHINA STOCK,45,65,0.5417,1.12,13,37,45
METAL 12' (SMALL),METAL FURRING 30MM,LOCAL STOCK,5,186,1.55,4.13,16,23,45
"1-1/2"" X 5.8M UPVC PIPE -WWW","1-1/2"" UPVC PIPE WWW",LOCAL STOCK,5,194,1.6167,3.36,13,21,44
9.60E+12,9.60E+12,LOCAL STOCK,5,220,1.8333,2.33,9,18,44
"3PCS 4"" P.ROLLER REFILL","3PCS 4"" P.ROLLER REFILL",CHINA STOCK,45,69,0.575,0.77,9,35,43
SHACHIHATA EK70 ARTLINE MARKER BLACK,EK70 ARTLINE MARKER BLK,CHINA STOCK,45,53,0.4417,1.39,16,36,42
STEEL HOSE CLIP W/HANDLE 16-25MM,STEEL HOSE CLIP W/HDL 16-25MM,CHINA STOCK,45,61,0.5083,1.04,12,35,42
"8# X 1"" TAPPING SCREW","8# X 1"" TAPPING SCREW",CHINA STOCK,45,62,0.5167,1.04,12,35,42
4.8MMX150MM BLK CABLE TIE,4.8X150MM BLK CABLE TIE,CHINA STOCK,45,51,0.425,1.42,16,35,41
2503001007,"1"" PVC U CLIP",LOCAL STOCK,5,139,1.1583,5.05,19,25,41
15A PVC CONNECTOR,15A PVC CONNECTOR,CHINA STOCK,45,58,0.4833,1.01,12,33,40
"TAPPING SCREW 7x1.5""","7# X 1.5"" TAPPING SCREW",CHINA STOCK,45,56,0.4667,1.08,12,33,40
SSUTC1,"1"" S/STEEL U PIPE CLIP",LOCAL STOCK,5,119,0.9917,5.7,22,26,40
"1/2"" PVC CLASS 7 PIPE","1/2"" PVC CLASS 7 PIPE",LOCAL STOCK,5,155,1.2917,3.67,14,20,39
CM MULTIPLE CORD 3C 40076 GREY,40/076 3C WIRE GREY,LOCAL STOCK,5,171,1.425,3.14,12,19,39
"3/4""X3/4 X18GX3'X50' GAL MESH","3/4""x3/4""x3' W/WIRE MESH",CHINA STOCK,45,33,0.275,1.92,22,34,38
5.08E+12,5.08E+12,CHINA STOCK,45,54,0.45,0.98,11,32,38
"1/2"" PVC CLASS 6 PIPE - FT","1/2"" PVC CLASS 6 PIPE",LOCAL STOCK,5,174,1.45,2.76,11,18,38
VT-230-BROWN,300ML VITAL NAIL-MAX BRN,LOCAL STOCK,5,184,1.5333,2.34,9,17,38
PM-2109 ARTRIINK PERMANENT MAKER,PM-2109 ARTRIINK PERMANENT MAKER,CHINA STOCK,45,52,0.4333,0.97,11,31,37
"3/4"" PVC CLASS 7 PIPE - FT","3/4"" PVC CLASS 7 PIPE",LOCAL STOCK,5,113,0.9417,5.11,19,24,37
VT-226W GAP SEALANT,GAP SEALANT WHITE-400GM,LOCAL STOCK,5,156,1.3,3.19,12,19,37
4811.41.2000 48MM X 12Y,MASKING TAPE 48MMX12Y,LOCAL STOCK,5,183,1.525,2.04,8,16,37
MAKITA CUTTING DISC 105x1.2x16MM,"M-CUTTING DISC 4""",CHINA STOCK,45,42,0.35,1.32,15,31,36
SIKA CERAM 88 25KG,SIKA CERAM 88 25KG,LOCAL STOCK,5,172,1.4333,2.32,9,16,36
20MM PPR SOCKET,20MM PPR SOCKET,CHINA STOCK,45,41,0.3417,1.26,14,30,35
587 ONE PLUS CYLINDRICAL LOCK,587SS CYLINDRICAL LOCK,CHINA STOCK,45,50,0.4167,0.89,10,29,35
"1/2"" (15MM) PVC EQUAL TEE","1/2"" PVC EQUAL TEE",LOCAL STOCK,5,152,1.2667,2.79,11,17,35
LK-026,20KG STOPPING COMPOUND,LOCAL STOCK,5,185,1.5417,1.53,6,14,35
6 LINE SAFETY VEST WITH ZIP & POCKET GREEN,6LINE S.VEST W/ZIP & POCKET GRN,CHINA STOCK,45,26,0.2167,1.88,21,31,34
T1-GPW-325,GP THINNER WHT 325ML,LOCAL STOCK,5,169,1.4083,1.79,7,14,34
4811.41.2000 36MM X 12Y,MASKING TAPE 36MMx12Y,LOCAL STOCK,5,167,1.3917,1.8,7,14,34
"1/2""X6'","1/2"" X 6' S.FULL THREAD BAR",CHINA STOCK,45,25,0.2083,1.84,21,30,33
HTZ-3525,M4 X 25 CHIPBOARD SCREW,CHINA STOCK,45,47,0.3917,0.88,10,28,33
2MM G.I WIRE ROPE,2MM G.I WIRE ROPE,LOCAL STOCK,5,80,0.6667,5.3,20,23,33
2503002004,"3/4"" PVC ELBOW",LOCAL STOCK,5,136,1.1333,2.9,11,17,33
"PVC PAINT TRAY 7"" 9 X 32CM","PVC PAINT TRAY 7"" 9 X 32CM",CHINA STOCK,45,47,0.3917,0.78,9,27,32
30994104 GOLDLAND UTILITY KNIFE 911104,JH-104 UTILITY KNIFE,CHINA STOCK,45,49,0.4083,0.64,8,26,32
"4"" CUTTING DISC","4"" CUTTING DISC",LOCAL STOCK,5,137,1.1417,2.55,10,16,32
"PJ-4"" X 24"" PAINT ROLLER HDL","4""x24"" PAINT ROLLER HDL",CHINA STOCK,45,46,0.3833,0.7,8,26,31
"1/4"" DIA","DROP IN ANCHOR 1/4""",LOCAL STOCK,5,76,0.6333,5.13,19,23,31
4811.41.2000 24MM X 12Y,MASKING TAPE 24MMx12Y,LOCAL STOCK,5,153,1.275,1.79,7,13,31
"H&K DAKORATE 5028 4"" P.ROLLER REFILL BLUE/GRN","4"" P.ROLLER REFILL BLUE/GRN",CHINA STOCK,45,43,0.3583,0.72,8,25,30
3METER EXTENSION POLE RED,3M EXTENSION POLE RED,CHINA STOCK,45,43,0.3583,0.79,9,25,30
"1-1/2"" UPVC BEND-KKK","1-1/2"" UPVC BEND",LOCAL STOCK,5,138,1.15,1.99,8,14,30
"1/2"" POLY NIPPLE (100/2500)","1/2"" POLY NIPPLE",LOCAL STOCK,5,135,1.125,2.17,9,14,30
M10X100 S/STEEL HEX LAG BOLT/WALL PLUG,M10X100 S/S HEX SCREW SET,CHINA STOCK,45,20,0.1667,1.65,19,26,29
6CM KEY CHAIN / NECKLACE,6CM KEY CHAIN / NECKLACE,CHINA STOCK,45,35,0.2917,1.04,12,25,29
"8# X 1-1/2"" TAPPING SCREW","8# X 1-1/2"" TAPPING SCREW",CHINA STOCK,45,41,0.3417,0.78,9,25,29
"TAPPING SCREW 7x1.25""","7# X 1.25"" TAPPING SCREW",CHINA STOCK,45,42,0.35,0.68,8,24,29
"PVC PAINT TRAY 9"" 10.8 X 14.5CM","PVC PAINT TRAY 9"" 10.8 X 14.5CM",CHINA STOCK,45,42,0.35,0.73,9,24,29
SHACHIHATA EK70 ARTLINE MARKER BLUE,EK70 ARTLINE MARKER BLUE,CHINA STOCK,45,37,0.3083,0.9,10,24,29
JCTOP 3X140MM VOLTAGE TEST PEN 19881,140MM TEST PEN 19881,CHINA STOCK,45,43,0.3583,0.71,8,24,29
"3/4"" X 90  PVC EQUAL ELBOW","3/4"" PVC EQUAL ELBOW",LOCAL STOCK,5,115,0.9583,2.74,11,15,29
"W.MAN 1"" PVC CASING","W.MAN 1"" PVC CASING",LOCAL STOCK,5,129,1.075,2.2,9,14,29
STOCK-003,KEY 3,LOCAL STOCK,5,138,1.15,1.91,8,13,29
STAINLESS STEEL 304 NIPPLE 1/2,"S/S NIPPLE 1/2""",LOCAL STOCK,5,139,1.1583,1.69,7,13,29
"#9693-4""","4"" G.I PIPE CLIP",CHINA STOCK,45,21,0.175,1.57,18,26,28
ZP-625 ACE BRAND - PACK,"ZP625 DRYWALL/S #6x1"" ",CHINA STOCK,45,35,0.2917,0.89,10,24,28
10A PVC CONNECTOR,10A PVC CONNECTOR,CHINA STOCK,45,41,0.3417,0.65,8,23,28
"7"" P.ROLLER HANDLE","7"" P.ROLLER HANDLE",CHINA STOCK,45,32,0.2667,0.99,11,23,27
"TAPPING SCREW 7x1""","7# X 1"" TAPPING SCREW",CHINA STOCK,45,35,0.2917,0.8,9,23,27
"9"" SILICONE GUN","9"" SILICONE GUN",CHINA STOCK,45,41,0.3417,0.61,7,23,27
"DIGW 5/8"" SOFT CLOSING HINGES","DIGW 5/8"" SOFT CLOSING HINGES",CHINA STOCK,45,35,0.2917,0.8,9,23,27
NO8 1.9CM ART BRUSH,1.9CM ART BRUSH,CHINA STOCK,45,39,0.325,0.62,7,22,27
FF-W12,30x30x1.5MM L BRACKET,LOCAL STOCK,5,63,0.525,4.58,17,20,27
TP-PCA,T PRO CABLE 2.5MM BLACK,LOCAL STOCK,5,105,0.875,2.63,10,15,27
"1/2"" (15MM) PVC P/T  ELBOW","1/2"" PVC P/T ELBOW",LOCAL STOCK,5,113,0.9417,2.32,9,14,27
"TAPPING SCREW 7x3/4""","7# X 3/4"" TAPPING SCREW",CHINA STOCK,45,27,0.225,1.09,13,23,26
CURTAIN ROD 20M,CURTAIN ROD 20M,CHINA STOCK,45,26,0.2167,1.11,13,23,26
BLACK RUBBER GLOVE 50G XL,RUBBER GLOVE BLK XL,CHINA STOCK,45,29,0.2417,1.05,12,23,26
M8 X 100 HEXAGON SCREW WALL PLUG SET,M8x100 HEX SCREW SET,CHINA STOCK,45,20,0.1667,1.39,16,23,26
SK3,WOOD SK 3 70X9MM,LOCAL STOCK,5,63,0.525,4.09,16,18,26
CM MULTIPLE CORD 3C 70076 GREY,70/076 3C WIRE GREY,LOCAL STOCK,5,103,0.8583,2.62,10,14,26
MS FLEX CABLE 3C 2.5MM GRY-MTR,MS FLEX CABLE 3C 2.5MM GRY-MTR,LOCAL STOCK,5,105,0.875,2.44,10,14,26
T8 LED 36W 6500K 4' (VV),T8 LED 36W 6500K 4' (VV),LOCAL STOCK,5,113,0.9417,2.01,8,13,26
"1/2"" (15MM) PVC P/T SOCKET","1/2"" PVC P/T SOCKET",LOCAL STOCK,5,116,0.9667,1.84,7,12,26
SUPER CLOG DRAIN CLEANER 900ML,SUPER CLOG REMOVER 900ML,LOCAL STOCK,5,124,1.0333,1.47,6,11,26
25MM PPR TEE,25MM PPR TEE,CHINA STOCK,45,20,0.1667,1.33,15,23,25
190X300X25MM H/D L BRAC WHT,190X300X25MM H/D L BRAC WHT,CHINA STOCK,45,20,0.1667,1.31,15,23,25
"H&K DAKORATE 5028 4"" P.ROLLER REFILL","4"" P.ROLLER REFILL ",CHINA STOCK,45,36,0.3,0.66,8,21,25
HTZ-3532,M4 X 32 CHIPBOARD SCREW,CHINA STOCK,45,33,0.275,0.71,8,21,25
TY4/70-80-BLK,PVC WIRE 4 - BLACK,LOCAL STOCK,5,89,0.7417,2.81,11,15,25
2503002013,"3/4"" PVC INSP TEE",LOCAL STOCK,5,80,0.6667,3.16,12,15,25
"4"" S/S SWIVEL BOLT","4"" S/S SWIVEL BOLT ",CHINA STOCK,45,18,0.15,1.29,15,22,24
LAN JING VINYL PIPE CUTTER 3-25MM C10,VINYL PIPE CUTTER BLK 3-25MM,CHINA STOCK,45,29,0.2417,0.83,10,21,24
DH-3987,DH-3987 DUCHENG MAX UTILITY KNIFE,CHINA STOCK,45,34,0.2833,0.65,8,20,24
WN1,ALL SIZE NAILS,CHINA STOCK,45,30,0.25,0.78,9,20,24
J422(E4303) J40.50 WELDING ELECTRODES 2.5MM,J422 12# WELDING ROD 5KG,CHINA STOCK,45,33,0.275,0.62,7,20,24
6.05E+12,6.05E+12,LOCAL STOCK,5,106,0.8833,1.89,7,12,24
"1"" X 90 (25MM) PVC EQUAL ELBO","1"" PVC EQUAL ELBOW",LOCAL STOCK,5,102,0.85,1.92,8,12,24
"1/2""  (15MM ) PVC PLUG","1/2"" PVC PLUG",LOCAL STOCK,5,112,0.9333,1.58,6,11,24
"LN-3/8""","3/8"" HEX LONG NUT",CHINA STOCK,45,20,0.1667,1.18,14,21,23
"#9693-1 1/2""","1 1/2"" G.I PIPE CLIP",CHINA STOCK,45,21,0.175,1.11,13,21,23
F4006 IFAN 40CM PVC FLEXIBLE HOSE,"16"" IFAN PVC FLEX/HOSE",CHINA STOCK,45,29,0.2417,0.79,9,20,23
"2"" JRP CONCRETE NAIL","2"" JRP CONCRETE NAIL",CHINA STOCK,45,23,0.1917,0.99,11,20,23
"TAPPING SCREW 7x2""","7# X 2"" TAPPING SCREW",CHINA STOCK,45,33,0.275,0.61,7,20,23
2503002003,"3/4"" PVC CROSS BOX",LOCAL STOCK,5,66,0.55,3.16,12,15,23
VT-210T HIGH PERFORMANCE,VT210T NEUTRAL SILICONE,LOCAL STOCK,5,100,0.8333,1.68,7,11,23
"1"" (25MM)  PVC EQUAL SOCKET","1"" PVC SOCKET",LOCAL STOCK,5,103,0.8583,1.69,7,11,23
20MM PPR ELBOW,20MM PPR ELBOW,CHINA STOCK,45,23,0.1917,0.96,11,20,22
DS-HW620,"HW620 12x3/4"" S.D.SCREW",CHINA STOCK,45,27,0.225,0.74,9,19,22
HTZ-3538,M4 x 38 CHIPBOARD SCREW,CHINA STOCK,45,30,0.25,0.63,7,19,22
M35 HSS TWIST DRILL BIT 4MM,4MM HSS TWIST DRILL BIT,CHINA STOCK,45,21,0.175,1,12,19,22
6000370,370 DUSTPAN W/HDL,LOCAL STOCK,5,69,0.575,2.76,11,14,22
"3/4"" (20MM) PVC EQUAL SOCKET","3/4"" PVC SOCKET",LOCAL STOCK,5,86,0.7167,2.01,8,11,22
VT-202C,VT202 GP SEALANT CLEAR,LOCAL STOCK,5,100,0.8333,1.57,6,10,22
JPN70/100G,100G PVC GLUE NO.70 ORG,LOCAL STOCK,5,112,0.9333,0.96,4,9,22
1418B,14X18 BLUE SPONGE (8135),CHINA STOCK,45,17,0.1417,1.12,13,19,21
GP-640 ACE BRAND,"640 BLK DRYWALL/S #6x1-1/2""",CHINA STOCK,45,25,0.2083,0.7,8,18,21
"JRP 8#x1"" DRYWALL SCREW","8#x1"" DRYWALL SCREW",CHINA STOCK,45,28,0.2333,0.63,7,18,21
RED COCKROACH KILLER 5G,RED COCKROACH KILLER 5G,CHINA STOCK,45,23,0.1917,0.79,9,18,21
"3"" CUTTING DISC (76X10MM)","3"" CUTTING DISC",CHINA STOCK,45,19,0.1583,0.97,11,18,21
0.8MMx1.37M TRANSPARENT SHEET,TRANS/SHEET 0.8MM,CHINA STOCK,45,19,0.1583,0.98,11,18,21
70MM CYLINDRICAL LOCK BACKSET,70MM LOCK BACKSET,CHINA STOCK,45,28,0.2333,0.62,7,18,21
0.4MMx1.37M TRANSPARENT SHEET,TRANS/SHEET 0.4MM,CHINA STOCK,45,18,0.15,1.01,12,18,21
M26,M26 33X17MM,LOCAL STOCK,5,42,0.35,3.83,15,16,21
SR 417100295,PVC CORNER BEAD A3,LOCAL STOCK,5,68,0.5667,2.68,10,13,21
LK-002 - COMMON BRICK,BATU MERAH,LOCAL STOCK,5,68,0.5667,2.6,10,13,21
"4"" X 5.8M UPVC PIPE (3E) -FEET","4"" X 5.8M UPVC PIPE (3E)",LOCAL STOCK,5,75,0.625,2.29,9,12,21
1522FH/MGH008,"1/4"" WATER FILTER HOSE",LOCAL STOCK,5,81,0.675,2.06,8,11,21
"1-1/4"" ( 32MM ) UPVC BEND","1-1/4"" UPVC BEND",LOCAL STOCK,5,89,0.7417,1.86,7,11,21
DOSO S/S ROLLER,DOSO S/S ROLLER,LOCAL STOCK,5,84,0.7,1.96,8,11,21
2904001016,STANLEY TEST PEN-YLW,LOCAL STOCK,5,106,0.8833,1.09,5,9,21
T-THT291408,THT291408 3x140MM TEST PEN,LOCAL STOCK,5,104,0.8667,0.97,4,8,21
"8# X 3/4"" TAPPING SCREW","8# X 3/4"" TAPPING SCREW",CHINA STOCK,45,22,0.1833,0.8,9,18,20
"7"" PAINT ROLLER REFILL","7"" PAINT ROLLER REFILL",CHINA STOCK,45,26,0.2167,0.65,8,17,20
YINJIAHONG 6.0MM X 160MM SDS DRILL BIT,6.0x160MM SDS DRILL BIT,CHINA STOCK,45,26,0.2167,0.58,7,17,20
S/STEEL HOSE CLIP 16-25mm,S/S HOSE CLIP 16-25MM,CHINA STOCK,45,23,0.1917,0.71,8,17,20
3906-300-24-100P,"12"" X 24T SAW BLADE",CHINA STOCK,45,28,0.2333,0.5,6,17,20
"7"" PRUNING SHEAR STRAIGHT","7"" PRUNING SHEAR (S)",CHINA STOCK,45,27,0.225,0.53,6,16,20
"1/2""X1/2""X19GX3' PVC COATED WIRE MESH","1/2""x3' PVC COATED NETTING",LOCAL STOCK,5,59,0.4917,2.75,11,13,20
PLS T8 22W LED 6500K 4',T8 LED 22W 6500K 4',LOCAL STOCK,5,60,0.5,2.83,11,13,20
"1""(25MM) PVC CLASS D PIPE - FT","1"" PVC CLASS D PIPE",LOCAL STOCK,5,63,0.525,2.47,10,12,20
BOLT & NUT  HEXAGON,BOLT & NUT & CHAIN & WASHER,LOCAL STOCK,5,82,0.6833,1.77,7,10,20
IMDA,"2"" X 6YDS CLOTH TAPE-COL",LOCAL STOCK,5,83,0.6917,1.66,7,10,20
MKX-HS-1806 - MTR,16MM ORANGE HOSE,LOCAL STOCK,5,91,0.7583,1.47,6,10,20
4.8MMX250MM BLK CABLE TIE,4.8x250MM BLK CABLE TIE,CHINA STOCK,45,25,0.2083,0.52,6,16,19
"1"" JRP CONCRETE NAIL","1"" JRP CONCRETE NAIL",CHINA STOCK,45,25,0.2083,0.56,7,16,19
TOMCAT RAT GLUE 200ML,TOMCAT RAT GLUE 200ML,CHINA STOCK,45,22,0.1833,0.67,8,16,19
MAKITA POWER BIT SS1/4X100MM X PH2+PH2,M-SCREWDRIVER BIT PH2x100MM,CHINA STOCK,45,24,0.2,0.63,7,16,19
"ALPINE 1/2"" X 1M PVC UNI TRAP","ALPINE 1/2"" X 1M PVC UNI TRAP",CHINA STOCK,45,26,0.2167,0.51,6,16,19
2503002014,"3/4"" PVC TEE BOX",LOCAL STOCK,5,58,0.4833,2.42,9,12,19
"1-1/4"" X 5.8M UPVC PIPE","1-1/4"" X 5.8M UPVC PIPE WWW",LOCAL STOCK,5,72,0.6,1.92,8,11,19
2608600017,"BOSCH GRINDING DISC 4""",LOCAL STOCK,5,84,0.7,1.49,6,9,19
2# SAMURAI STANDARD,SAMURAI SPRAY 2#,LOCAL STOCK,5,81,0.675,1.42,6,9,19
30# SAMURAI STANDARD,SAMURAI SPRAY PAINT 30#,LOCAL STOCK,5,88,0.7333,1.11,5,8,19
GAS 14KG,GAS 14KG,LOCAL STOCK,5,97,0.8083,0.95,4,8,19
ECO ANT BAIT PEST ASIA/0836,ECO ANT BAIT,LOCAL STOCK,5,93,0.775,1.03,4,8,19
4.8MMX200MM WHT CABLE TIE,4.8X200MM WHT CABLE TIE,CHINA STOCK,45,24,0.2,0.56,7,16,18
S/STEEL HOSE CLIP 13-19MM,S/S HOSE CLIP 13-19MM,CHINA STOCK,45,22,0.1833,0.62,7,16,18
DEWALT CUTTING DISC 105x1.0x16MM,"D-CUTTING DISC 4""",CHINA STOCK,45,18,0.15,0.8,9,16,18
"3/8""X6'","3/8"" X 6' S.FULL THREAD BAR",CHINA STOCK,45,19,0.1583,0.76,9,16,18
"1304 1/2"" PVC BIB TAP","1304 1/2"" PVC BIB TAP",CHINA STOCK,45,14,0.1167,0.94,11,16,18
GP-620 ACE BLK DRYWAL - PACK,"620 BLK DRYWALL/S #6x3/4""",CHINA STOCK,45,23,0.1917,0.57,7,15,18
F4009 IFAN 80CM PVC FLEXIBLE HOSE,"32"" IFAN PVC FLEX/HOSE",CHINA STOCK,45,22,0.1833,0.56,7,15,18
"7"" H/DUTY PAINT ROLLER FRAME - BLUE","7"" H/D P.ROLLER FRAME ",CHINA STOCK,45,24,0.2,0.53,6,15,18
YINJIAHONG 6.0MM X 110MM SDS DRILL BIT,6.0x110MM SDS DRILL BIT,CHINA STOCK,45,21,0.175,0.6,7,15,18
"2"" UPVC PIPE - WWW","2"" UPVC PIPE WWW",LOCAL STOCK,5,59,0.4917,2.08,8,11,18
TP-VDEC,T-PRO 1.5 2C VDE CABLE,LOCAL STOCK,5,64,0.5333,2.09,8,11,18
STRETCH FILM 500MM,STRETCH FILM 500MM,LOCAL STOCK,5,70,0.5833,1.85,7,10,18
VT-211 WEATHERPROOFING SEALANT,VT-211 WEATHERPROOFING SEALANT,LOCAL STOCK,5,67,0.5583,1.78,7,10,18
MK-HG610,1200 COTTON GLOVES,LOCAL STOCK,5,81,0.675,1.18,5,8,18
6.05E+14,KT708 LIGHTER,LOCAL STOCK,5,84,0.7,1.2,5,8,18
GP-625 ACE BLK DRYWALL SCREW,"625 BLK DRYWALL/S #6x1""",CHINA STOCK,45,22,0.1833,0.53,6,15,17
